Title,Description,Author,Year,MonthDay,Link,ImageLink
Chain of Responsibility – Behavioral Design Pattern,"The Chain of Responsibility Pattern comes under Behavioral design pattern, the main motive of this pattern is to accomplish loose coupling in Software design process where the client request is",Supriya,2020,Aug 1,https://www.opencodez.com/java/chain-of-responsibility-pattern.htm,https://www.opencodez.com/wp-content/uploads/2020/08/Java-Design-Patterns-150x100.png
Flyweight Pattern – Structural Design Pattern,Flyweight pattern comes under Structural Design Patterns. By using this pattern we can decrease object count. When there is a need to create huge amount of similar objects then this,Supriya,2020,May 20,https://www.opencodez.com/java/flyweight-pattern.htm,https://www.opencodez.com/wp-content/uploads/2020/05/Flyweight-Pattern-Java-Design-Patterns-150x100.png
What Is Full Stack QA or Tester? 4 Steps Guide For Beginners,"We have always heard the term full-stack developer but what about someone from QA background? Do we also have something like Full Stack QA Engineer? the answer is Yes! So,",Shilpa,2020,May 18,https://www.opencodez.com/software-testing/become-full-stack-qa-engineer.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Full-Stack-Developer-200x200.jpeg
Recession 2020 -7 Highly Effective Ways IT Professionals Can Prepare,"Many say that another wave of Recession is approaching. On the internet, you will find several articles talking about an upcoming recession. I am not an economic expert, but the",Shilpa,2020,Apr 27,https://www.opencodez.com/it-lifestyle/7-highly-effective-ways-professionals-can-prepare-recession.htm,https://www.opencodez.com/wp-content/uploads/2020/04/Untitled-drawing1.png
10 Productivity Tips For Working From Home (WFH) – Practical To Follow,"It’s been more than 5 years, I am working from home (WFH) now. After the birth of my daughter, I was blessed to get this opportunity to WFH and at",Shilpa,2020,Mar 30,https://www.opencodez.com/it-lifestyle/10-productivity-tips-for-working-from-home.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Untitled-drawing-4.png
Complete Step by Step Guide of Gherkin for Beginners,"Gherkin is a plain English text language, used by BDD (Behavior Driven Development) tool ‘Cucumber‘ to define and execute the test scripts. 1. What is BDD? BDD (Behavior Driven Development)",Pritam,2020,Mar 22,https://www.opencodez.com/software-testing/complete-step-step-guide-gherkin-beginners.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Untitled-drawing-3.png
Top 8 Most Commonly asked HR Interview Questions With Answers,"There are some questions that are frequently asked during Human Resource interviews. As an IT professional, these HR Interview Questions may appear not so important as technical questions, but in",Shilpa,2020,Mar 21,https://www.opencodez.com/how-to-guide/the-8-most-commonly-asked-hr-interview-questions.htm,https://www.opencodez.com/wp-content/uploads/2020/03/HR-Interview-Questions-200x200.png
7 Free Testing Artifacts / Deliverables Template To Download,"Testing Artifacts are deliverables or documents prepared during the testing process. These documents are shared at different stages of Testing with different stakeholders like clients, Test Managers, Team members, and",Shilpa,2020,Mar 19,https://www.opencodez.com/software-testing/free-testing-artifacts-deliverables-template-to-download.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Testing-Artifacts-200x200.png
"What is Test Case (TC), Examples with Free Template To Download",Test Case (TC) is the most important document prepared in testing activities. It is the base for testing an application. So make sure it is reviewed by all respective stakeholders,Shilpa,2020,Mar 16,https://www.opencodez.com/software-testing/test-cases-with-examples-free-test-case-template-to-download.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Case_F.png
What is Test Data? Examples with Free Template to Download,Test data plays an important role in executing test cases. Designing appropriate data is one of the main tasks of application testing. What is Test Data? Test data is a,Shilpa,2020,Mar 12,https://www.opencodez.com/software-testing/test-data.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Data-2-200x200.png
"What is Test Scenario? Template with Examples,Difference Between Test Scenario and Test Case","For Testers, Test Scenario is not new, but many testing professionals are still vague about this concept. So, what is a Test Scenario? Why we create it? How to create",Shilpa,2020,Mar 10,https://www.opencodez.com/software-testing/what-is-test-scenario-template-with-examples.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Scenario_Featured1-200x200.png
Top 10 ETL Testing Tools to Watch in 2020,"ETL Testing has a lot of demand in the market all the time. ETL Testers are paid better than Manual/ Functional ones. So, those who are interested in Database /SQL",Shilpa,2020,Mar 4,https://www.opencodez.com/software-testing/top-10-etl-testing-tools.htm,https://www.opencodez.com/wp-content/uploads/2020/03/ETL-Testing-Tools-3.png
XPath for Web Scraping with R – Detailed Step by Step Guide,"We have already learned about Web Scraping Technology in our previous post Web Scraping Using Beautiful Soup in Python. In addition to that, a learner/developer might also be interested in",Rounak,2020,Mar 1,https://www.opencodez.com/how-to-guide/how-to-use-xpath-for-web-scraping-with-r.htm,https://www.opencodez.com/wp-content/uploads/2020/03/How-to-use-XPath-for-Web-Scraping-with-R.png
10 Steps Action Plan to Move From Software Development To Testing,How can I move my career from Software Development To Testing? I am frequently getting these kinds of queries in comments on our most popular article 6 Important Steps to,Shilpa,2020,Feb 27,https://www.opencodez.com/software-testing/10-steps-action-plan-to-move-from-software-development-to-testing.htm,https://www.opencodez.com/wp-content/uploads/2020/02/Action-Plan-to-Move-From-Software-Development-To-Testing-1-200x200.png
151+ Most Important Frequently Asked Selenium Interview Questions,Here we are providing 151 Most Important Frequently Asked Selenium Interview Questions. These questions will be very useful for you to crack an interview and help you to make a,Shilpa,2020,Feb 25,https://www.opencodez.com/software-testing/most-important-frequently-asked-selenium-interview-questions.htm,https://www.opencodez.com/wp-content/uploads/2020/02/Most-Important-Frequently-Asked-Selenium-Interview-Questions.png
JMeter for Load Testing – A Complete Guide For Beginners,"If you are into manual testing and planning to learn a testing tool, though just to add in your resume, definitely consider JMeter For Load Testing. This is because Jmeter doesn’t require coding",Shilpa,2020,Jan 28,https://www.opencodez.com/software-testing/beginners-guide-to-jmeter-for-load-testing.htm,https://www.opencodez.com/wp-content/uploads/2020/01/Jmeter-For-Load-Testing.png
Beginners Guide to Flutter SDK – Create Simple Mobile App with Flutter,"Flutter is a free and open-source SDK provided by Google, it uses a unique language called Dart ( which was developed by Google). With Flutter, a developer can have an",Shilpa,2020,Jan 15,https://www.opencodez.com/how-to-guide/beginners-guide-to-flutter-sdk.htm,https://www.opencodez.com/wp-content/uploads/2020/01/Flutter.png
7 Life Changing Lessons I Learned From 7 Yrs Of IT Experience,"We have engineers graduated in thousands every year across the entire country. In that, the majority is hired by IT companies. I completed my B.Tech in 2012. I was not",Rounak,2020,Jan 8,https://www.opencodez.com/it-lifestyle/7-life-changing-lessons-learned-7-yrs-experience.htm,https://www.opencodez.com/wp-content/uploads/2020/01/party-glass-architecture-windows-34092-200x200.jpg
6 Tips To Deal With IT Professional’s Anxiety,"Last weekend my sabjiwala said, “mam aap to IT me ho, itna kyu bargain kar rahe ho”. (You are in IT, why are you bargaining hard ) And I was",Shilpa,2020,Jan 6,https://www.opencodez.com/it-lifestyle/6-tips-to-deal-with-it-professional-anxiety.htm,https://www.opencodez.com/wp-content/uploads/2020/01/design-desk-display-eyewear-313690-200x200.jpg
API Testing with Java Using Rest Assured – Sample Code Provided,"Overview Nowadays, software applications are becoming more complex at the same time more open for interactions. All thanks to APIs and it’s the ease of using with any kind of",Pritam,2020,Jan 4,https://www.opencodez.com/software-testing/api-testing-java-using-rest-assured.htm,https://www.opencodez.com/wp-content/uploads/2020/01/Java-Rest-API.png
9 Crucial Financial Advice For IT Engineers For Better Future,There is a common belief that IT employees earn more and save more. How many of you would agree with me on this? I am sure the number would be,admin,2019,Dec 30,https://www.opencodez.com/it-lifestyle/9-crucial-financial-advice-for-it-engineers-for-better-future.htm,https://www.opencodez.com/wp-content/uploads/2019/12/black-calculator-near-ballpoint-pen-on-white-printed-paper-53621-200x200.jpg
6 Part Time Jobs For IT Engineers To Earn Extra Money,"You have no other responsibilities than your job or ever thought of doing part-time jobs after coming back from your daily work routine? If yes, then you will be delighted",Shilpa,2019,Dec 26,https://www.opencodez.com/it-lifestyle/6-part-time-jobs-software-engineers-earn-extra-money.htm,https://www.opencodez.com/wp-content/uploads/2019/12/adult-books-business-coffee-374016-200x200.jpg
7 Awesome Ways to Beat Monday Blues,"I think, no one hates Monday thank we IT people. 🙂 Our weekend starts on Friday afternoon only and Sunday afternoon we start feeling sad merely thinking about the next",Shilpa,2019,Dec 25,https://www.opencodez.com/it-lifestyle/7-awesome-ways-to-beat-monday-blues.htm,https://www.opencodez.com/wp-content/uploads/2019/10/MB-200x200.jpg
Automation Testing With Cypress – Simple and Easy Tutorial For Beginners,"The biggest challenge we QA Engineers face or at least I always encounter is those annoying waits, sleep, elements not present on the page, or slow loading of pages. To",Pritam,2019,Dec 13,https://www.opencodez.com/software-testing/automation-testing-with-cypress.htm,https://www.opencodez.com/wp-content/uploads/2019/12/cypress-logo-200x200.png
How Can Artificial Intelligence and Machine Learning Impact The Healthcare Industry,"The healthcare industry is rapidly evolving. The 2019 Global Healthcare Outlook analysis by Deloitte estimates that between 2017-2022, the global health care spending is expected to rise 5.4 percent annually",Rounak,2019,Nov 18,https://www.opencodez.com/how-to-guide/how-can-artificial-intelligence-and-machine-learning-impact-the-healthcare-industry.htm,https://www.opencodez.com/wp-content/uploads/2019/11/AI.jpg
Java Structural Design Patterns – Bridge Pattern,"Bridge Pattern is one of the structural design patterns. As the name of the pattern is BRIDGE , it divides one class in 2 parts i.e., Abstraction and Implementation and",Supriya,2019,Nov 13,https://www.opencodez.com/java/bridge-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/11/Java-Design-Patterns-Bridge-Pattern.png
Apply Machine Learning Algorithms on a Loan Delinquency Problem – Part2,"Hope the previous article on exploration of the Loan Default data was informative. As stated, it is time to talk about encoding of a few categorical columns in our data. In this",Rounak,2019,Nov 7,https://www.opencodez.com/how-to-guide/machine-learning-algorithms-on-loan-delinquency-problem.htm,https://www.opencodez.com/wp-content/uploads/2019/11/Tree-Based-Algorithms-on-a-Loan-Delinquency-Problem.png
What is Full Stack Developer? Simple Easy Guide To Become The One,Full Stack Developer is the latest trend going on in the job market. If you look across various job portals you can easily spot the demand for Full Stack Developers,Pavan,2019,Oct 24,https://www.opencodez.com/how-to-guide/full-stack-developer.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Full-Stack-Developer-200x200.jpeg
Java Creational Design Patterns – Prototype Pattern,"Prototype pattern comes under creational design pattern. As we know, in Java object creation process is time consuming and costly, so instead of creating object every time we can create",Supriya,2019,Oct 19,https://www.opencodez.com/java/prototype-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Java-Design-Patterns-Prototype-Pattern.png
